name,gender,rollNumber,cpi,department,preferences
Nisha Dixit,male,23B0663,8.09,MM,"[79, 23, 94, 1, 5, 9]"
Karan Menon,male,23B0413,6.53,CE,"[89, 12, 90, 18, 4, 59]"
Amitabh Gautam,male,23B2524,6.92,MM,"[88, 6, 100, 9, 16, 75]"
Tara Patel,female,23B1274,7.48,CS,"[70, 4, 64, 6, 13, 58]"
Ishita Kumar,male,23B3981,7.47,AE,"[91, 40, 85, 8, 0, 18]"
Sanjay Bhattacharya,male,23B0728,9.52,CS,"[73, 33, 87, 14, 12, 4]"
Harsh Jha,male,23B2503,9.79,CS,"[73, 14, 81, 8, 9, 72]"
Rhea Nambiar,male,23B1835,7.17,CS,"[100, 6, 81, 20, 20, 59]"
Deepak Patel,male,23B1508,8.2,CH,"[81, 33, 92, 9, 0, 66]"
Vivek Varma,male,23B3959,9.81,CH,"[94, 16, 75, 1, 27, 18]"
Maya Sharma,female,23B0612,7.36,CS,"[98, 27, 71, 8, 35, 5]"
Ramesh Das,male,23B0919,8.37,AE,"[96, 18, 86, 16, 26, 52]"
Ishita Mathur,male,23B2205,8.49,AE,"[86, 12, 62, 6, 19, 28]"
Siddharth Choudhury,male,23B0968,7.94,EN,"[93, 32, 61, 16, 6, 48]"
Neelam Sinha,male,23B3955,6.89,CS,"[87, 9, 88, 14, 12, 18]"
Anushka Mukherjee,female,23B0921,9.32,CS,"[79, 20, 74, 12, 26, 4]"
Tanvi Nandan,male,23B0917,8.81,AE,"[93, 15, 76, 18, 11, 16]"
Isha Chawla,male,23B2512,6.08,EN,"[70, 18, 81, 1, 27, 20]"
Rajesh Pandey,male,23B2237,7.01,CS,"[73, 16, 100, 10, 6, 82]"
Swati Pande,male,23B2232,6.97,CS,"[70, 5, 99, 3, 20, 27]"
Shruti Solanki,male,23B1226,8.52,CH,"[87, 26, 88, 0, 10, 90]"
Kavya Vyas,male,23B1306,7.88,CH,"[94, 18, 69, 13, 25, 27]"
Rajesh Menon,female,23B1503,6.07,CS,"[100, 20, 74, 13, 35, 72]"
Ananya Agarwal,male,23B2418,8.13,AE,"[72, 15, 68, 2, 8, 40]"
Mohit Gogoi,male,23B1258,6.97,AE,"[99, 14, 69, 14, 0, 55]"
Shruti Chatterjee,male,23B2703,9.94,EN,"[72, 7, 61, 8, 14, 42]"
Tara Raut,male,23B0955,9.94,CS,"[82, 38, 98, 11, 20, 29]"
Rajat Swamy,female,23B3943,6.32,CS,"[71, 7, 92, 12, 20, 64]"
Sanya Sood,male,23B0080,6.54,AE,"[97, 22, 66, 16, 35, 83]"
Diya Kumar,male,23B0727,6.14,CS,"[76, 23, 71, 4, 10, 41]"
Kritika Nambiar,male,23B0915,8.13,CS,"[91, 1, 69, 1, 32, 6]"
Ajay Jha,male,23B1543,6.56,CS,"[84, 0, 82, 9, 8, 9]"
Swati Vyas,male,23B2185,8.21,CH,"[93, 3, 66, 7, 29, 4]"
Priya Shukla,male,23B3023,8.37,CH,"[84, 9, 88, 3, 13, 25]"
Kiran Khanna,female,23B1305,6.82,CS,"[96, 16, 92, 0, 6, 97]"
Sonal Chakraborty,male,23B2103,7.79,AE,"[76, 38, 91, 10, 24, 15]"
Nidhi Mishra,male,23B0723,9.75,AE,"[71, 33, 82, 19, 11, 63]"
Shruti Ghosh,male,23B0627,9.74,EN,"[84, 39, 84, 6, 27, 66]"
Aarav Varma,male,23B0066,8.29,CS,"[85, 29, 91, 4, 15, 69]"
Harsh Karthik,male,23B1284,8.61,AE,"[100, 3, 82, 20, 28, 9]"
Vikram Patel,male,23B2723,9.91,EN,"[97, 35, 87, 13, 32, 5]"
Kartik Verma,male,23B0654,9.75,CS,"[77, 36, 70, 0, 21, 59]"
Aditi Iyer,male,23B4202,8.19,CS,"[70, 29, 88, 18, 25, 54]"
Siddhi Kapoor,male,23B2211,7.43,CS,"[98, 9, 82, 19, 31, 4]"
Arnav Mehta,female,23B2221,8.43,CH,"[74, 25, 90, 1, 35, 93]"
Ayesha Mukherjee,female,23B4247,7.85,CH,"[88, 36, 72, 17, 29, 67]"
Kiran Dubey,female,23B2707,8.24,AE,"[73, 5, 100, 3, 3, 37]"
Vikram Roy,male,23B1287,7.06,AE,"[89, 31, 85, 1, 24, 4]"
Rohan Shah,male,23B0361,9.14,EN,"[78, 2, 68, 3, 16, 69]"
Ajay Nair,male,23B1257,9.79,CS,"[91, 7, 61, 20, 4, 5]"
Vivek Bhattacharya,male,23B1021,8.28,CS,"[98, 12, 64, 9, 18, 41]"
Kabir Rao,female,23B0994,8.25,CS,"[92, 14, 85, 15, 8, 32]"
Sanjay Naidu,male,23B2152,6.85,EN,"[81, 16, 64, 10, 33, 63]"
Rajat Malik,male,23B3963,7.7,CS,"[77, 13, 87, 14, 21, 97]"
Ritu Pandey,male,23B1518,6.75,CS,"[86, 22, 95, 20, 3, 44]"
Deepak Dixit,male,23B0746,6.91,CS,"[92, 13, 63, 5, 17, 34]"
Aditi Bhardwaj,male,23B2489,7.83,CH,"[77, 33, 60, 15, 6, 77]"
Devansh Menon,female,23B3965,6.21,AE,"[75, 31, 100, 6, 18, 79]"
Anika Khanna,male,23B2508,7.66,CH,"[86, 38, 79, 14, 0, 2]"
Rakesh Nandan,male,23B2488,8.04,AE,"[79, 3, 89, 15, 28, 94]"
Karan Bose,male,23B2284,7.3,EN,"[77, 4, 68, 20, 24, 36]"
Alka Naidu,male,23B3905,7.54,CS,"[100, 30, 92, 11, 31, 79]"
Simran Iyer,male,23B1074,8.89,CS,"[99, 6, 92, 3, 16, 90]"
Maya Varma,female,23B2141,9.05,CS,"[88, 31, 91, 20, 13, 93]"
Aarohi Pande,male,23B2529,7.79,AE,"[96, 24, 79, 5, 5, 27]"
Sachin Pande,male,23B2479,7.71,CS,"[94, 33, 91, 7, 33, 48]"
Rajesh Roy,male,23B0028,8.34,CS,"[75, 21, 74, 17, 12, 50]"
Pallavi Banerjee,male,23B1259,8.61,CS,"[97, 35, 83, 8, 32, 90]"
Siddharth Ghosh,male,23B3929,6.71,CH,"[73, 27, 82, 10, 3, 78]"
Arjun Mathur,male,23B0615,6.56,CS,"[70, 20, 76, 7, 18, 29]"
Manisha Singh,male,23B1515,8.36,CH,"[74, 12, 87, 7, 35, 4]"
Kiran Nair,male,23B0683,8.23,AE,"[73, 26, 73, 12, 30, 77]"
Sachin Mehta,male,23B0731,7.96,AE,"[78, 33, 89, 5, 18, 64]"
Amitabh Saxena,female,23B1241,7.67,CS,"[80, 25, 69, 13, 7, 26]"
Rhea Sethi,male,23B0362,7.31,EN,"[99, 17, 77, 3, 19, 92]"
Sameer Iyer,male,23B1528,9.68,EN,"[97, 30, 73, 3, 31, 24]"
Anushka Bhatt,male,23B0051,6.41,CS,"[82, 36, 61, 0, 24, 77]"
Rohan Solanki,male,23B1040,8.68,CS,"[98, 35, 100, 5, 8, 11]"
Vivek Pandey,male,23B0980,9.51,CS,"[89, 28, 84, 1, 7, 69]"
Gaurav Patel,male,23B3964,8.81,CS,"[72, 15, 83, 18, 31, 60]"
Mohit Mukherjee,female,23B2158,8.07,CH,"[99, 16, 70, 1, 5, 20]"
Raj Varma,female,23B0647,8.0,CH,"[96, 25, 69, 1, 21, 35]"
Swati Nair,female,23B2525,7.28,AE,"[70, 1, 61, 6, 25, 10]"
Yash Jha,male,23B0390,7.85,AE,"[81, 31, 64, 1, 3, 24]"
Sameer Nair,male,23B2238,7.46,EN,"[99, 23, 76, 1, 23, 15]"
Anushka Chatterjee,male,23B4213,7.47,CS,"[89, 6, 83, 8, 14, 97]"
Raj Swamy,male,23B0396,6.33,CS,"[84, 23, 91, 16, 18, 99]"
Tara Mathur,female,23B1044,7.24,CS,"[93, 33, 73, 0, 12, 19]"
Ritu Singhal,male,23B0690,7.9,AE,"[89, 27, 80, 9, 24, 51]"
Nikhil Agarwal,male,23B0995,6.89,CS,"[93, 19, 75, 2, 22, 79]"
Sneha Joshi,male,23B3930,6.41,CS,"[98, 34, 72, 17, 25, 24]"
Smita Tiwari,male,23B1266,9.55,CS,"[75, 22, 91, 12, 25, 93]"
Karan Bhatt,male,23B3926,6.9,CH,"[91, 1, 99, 19, 18, 12]"
Rajesh Solanki,female,23B2128,7.03,CS,"[88, 27, 79, 6, 30, 54]"
Rohit Rana,male,23B2513,9.31,CH,"[74, 35, 80, 0, 22, 27]"
Rohit Joshi,male,23B4228,6.62,AE,"[94, 24, 89, 6, 12, 6]"
Pallavi Sharma,male,23B0021,7.55,AE,"[95, 29, 87, 7, 2, 28]"
Arnav Khanna,male,23B0918,7.97,EN,"[84, 0, 87, 19, 19, 19]"
Rajesh Naidu,male,23B1295,6.3,CS,"[81, 18, 69, 13, 26, 42]"
Naina Sethi,female,23B2121,8.25,CS,"[91, 14, 61, 19, 34, 23]"
Raj Pillai,male,23B4219,7.09,AE,"[96, 33, 68, 1, 14, 0]"
Prakash Varma,male,23B3942,7.76,CS,"[82, 28, 67, 14, 27, 4]"
Nisha Bhatia,male,23B2410,9.68,CS,"[96, 0, 76, 5, 8, 17]"
Neha Chatterjee,male,23B0941,7.44,CS,"[86, 20, 78, 1, 1, 47]"
Meera Agarwal,male,23B1837,6.85,CH,"[86, 38, 71, 4, 15, 18]"
Rhea Menon,female,23B1526,9.77,AE,"[90, 13, 100, 4, 1, 41]"
Manav Bhatt,male,23B1026,8.06,CH,"[81, 9, 80, 0, 16, 77]"
Anushka Naidu,male,23B2275,9.21,AE,"[84, 34, 62, 20, 11, 100]"
Deepak Rajput,female,23B1253,6.88,CS,"[100, 9, 72, 17, 34, 54]"
Neha Patel,male,23B3015,7.44,EN,"[71, 35, 100, 2, 11, 93]"
Vikas Khandelwal,male,23B1516,8.79,CS,"[99, 9, 96, 11, 20, 76]"
Mohit Raman,female,23B2470,8.69,AE,"[97, 22, 71, 19, 5, 80]"
Karan Naidu,male,23B0602,8.72,EN,"[90, 14, 62, 13, 16, 13]"
Meera Chatterjee,male,23B0631,9.04,CS,"[94, 37, 61, 11, 9, 30]"
Manish Chawla,male,23B2203,9.82,CS,"[79, 39, 76, 5, 18, 30]"
Abhishek Sen,male,23B2136,8.99,CS,"[96, 21, 89, 14, 21, 68]"
Abhishek Joshi,male,23B2131,7.21,CH,"[88, 24, 72, 0, 19, 5]"
Amitabh Desai,female,23B3987,7.02,CS,"[87, 9, 78, 12, 26, 81]"
Meera Sood,male,23B2271,9.63,AE,"[84, 12, 89, 11, 35, 36]"
Sanjay Malik,male,23B0325,6.19,CH,"[74, 0, 72, 13, 24, 34]"
Arjun Gautam,male,23B0323,8.27,AE,"[74, 22, 68, 12, 35, 99]"
Tara Iyer,male,23B1804,6.72,EN,"[83, 30, 85, 16, 23, 81]"
Rajat Joshi,male,23B1269,6.23,CS,"[74, 12, 76, 15, 10, 13]"
Alka Deshmukh,male,23B2260,6.14,AE,"[86, 5, 85, 10, 16, 45]"
Tarun Agarwal,male,23B2142,7.37,CS,"[74, 5, 89, 16, 1, 15]"
Vikas Sengupta,male,23B2235,8.65,CS,"[92, 7, 70, 7, 25, 39]"
Manav Kulkarni,male,23B0712,7.27,CS,"[71, 13, 79, 8, 12, 22]"
Kavya Kumar,male,23B3982,7.88,CS,"[73, 0, 73, 1, 9, 16]"
Isha Nambiar,female,23B2251,8.38,CH,"[70, 0, 88, 20, 3, 80]"
Sanjay Yadav,female,23B0078,9.05,CH,"[74, 3, 66, 19, 5, 77]"
Abhishek Bhardwaj,female,23B0368,7.0,CS,"[87, 35, 82, 15, 3, 19]"
Aarav Khanna,male,23B0733,6.1,AE,"[85, 1, 63, 1, 5, 60]"
Harsh Gautam,male,23B0764,8.71,AE,"[90, 36, 63, 2, 18, 99]"
Priya Raut,male,23B0408,8.81,EN,"[70, 26, 85, 15, 13, 78]"
Rahul Dutta,male,23B4229,9.51,CS,"[83, 38, 73, 12, 17, 31]"
Rekha Gogoi,female,23B0311,6.73,CS,"[86, 23, 72, 12, 9, 30]"
Arjun Chawla,male,23B2146,9.87,AE,"[78, 7, 95, 4, 23, 69]"
Lata Gupta,male,23B0903,8.34,CS,"[99, 18, 70, 1, 32, 78]"
Priya Varma,male,23B0016,9.4,CS,"[94, 26, 73, 16, 7, 60]"
Amitabh Patel,male,23B1002,8.54,CS,"[82, 18, 69, 16, 19, 99]"
Prakash Verma,male,23B1010,6.85,CH,"[92, 22, 96, 15, 9, 52]"
Yash Kulkarni,female,23B1844,7.04,AE,"[70, 7, 78, 13, 0, 26]"
Tanvi Ranganathan,male,23B0743,7.66,CH,"[93, 10, 85, 17, 27, 86]"
Aarohi Dubey,male,23B0356,8.37,AE,"[73, 0, 65, 10, 0, 73]"
Sameer Malhotra,female,23B2135,8.68,EN,"[71, 36, 92, 1, 17, 11]"
Sachin Singh,male,23B0634,9.63,CS,"[77, 3, 84, 14, 21, 9]"
Aditya Kapoor,male,23B0734,8.25,CS,"[89, 4, 82, 18, 8, 30]"
Meera Gogoi,female,23B2119,6.52,CS,"[72, 9, 67, 1, 4, 14]"
Kunal Pillai,male,23B1828,8.03,EN,"[76, 30, 66, 5, 4, 27]"
Shreya Kulkarni,male,23B2297,9.42,CS,"[86, 21, 87, 6, 9, 21]"
Abhishek Gautam,male,23B1231,7.88,CS,"[83, 14, 74, 3, 29, 20]"
Lata Thakur,male,23B0397,7.76,CS,"[90, 26, 77, 13, 3, 19]"
Meera Chauhan,male,23B2430,6.79,CH,"[86, 37, 93, 15, 17, 36]"
Manish Mathur,male,23B0384,7.37,AE,"[93, 24, 66, 14, 19, 50]"
Neha Mehta,female,23B3906,9.36,CS,"[95, 8, 100, 20, 31, 9]"
Anjali Bhattacharya,male,23B1532,8.24,CH,"[84, 20, 84, 10, 24, 29]"
Nidhi Gogoi,male,23B1299,8.29,AE,"[89, 9, 90, 11, 19, 62]"
Divya Thakur,male,23B0389,8.66,EN,"[72, 15, 65, 14, 27, 37]"
Rajesh Gupta,male,23B3940,8.25,CS,"[90, 38, 70, 20, 2, 87]"
Yash Reddy,male,23B2226,8.72,AE,"[73, 22, 89, 11, 9, 17]"
Arjun Varma,female,23B3921,7.15,EN,"[84, 3, 86, 4, 9, 12]"
Priya Dutta,male,23B2127,8.4,CS,"[82, 16, 94, 3, 4, 94]"
Nisha Menon,male,23B1240,9.39,CS,"[81, 11, 71, 12, 23, 74]"
Karan Nandan,male,23B0442,9.48,CS,"[79, 33, 74, 19, 11, 34]"
Pranav Reddy,male,23B3972,7.43,CH,"[84, 6, 66, 20, 19, 80]"
Aarav Saxena,female,23B1813,7.84,CH,"[76, 36, 89, 15, 17, 0]"
Pooja Bhattacharya,female,23B1853,8.39,CS,"[84, 31, 88, 11, 12, 95]"
Pranav Menon,male,23B2433,9.49,AE,"[77, 31, 75, 16, 16, 31]"
Pooja Deshmukh,male,23B0933,6.37,AE,"[82, 35, 96, 0, 11, 61]"
Naina Dutta,male,23B1809,7.03,EN,"[99, 32, 61, 9, 35, 4]"
Ramesh Mukherjee,male,23B3952,6.28,CS,"[74, 25, 98, 17, 30, 49]"
Riya Saxena,male,23B0002,9.29,ES,"[88, 28, 98, 14, 12, 98]"
Maya Pandey,female,23B4226,8.48,EC,"[80, 16, 100, 12, 18, 58]"
Rajesh Sethi,male,23B2289,8.12,EP,"[76, 36, 67, 6, 29, 25]"
Neelam Swamy,male,23B0934,7.32,EE,"[94, 30, 87, 5, 17, 81]"
Karan Vyas,male,23B0438,6.55,EE,"[75, 15, 75, 3, 10, 78]"
Rekha Yadav,male,23B0045,9.94,EE,"[80, 34, 98, 19, 32, 69]"
Devansh Karthik,female,23B2408,8.36,EP,"[75, 5, 80, 1, 25, 61]"
Ritu Das,male,23B0929,8.23,ES,"[74, 10, 82, 5, 16, 83]"
Simran Prasad,male,23B3911,9.16,EC,"[95, 34, 94, 12, 23, 20]"
Sameer Yadav,male,23B1251,7.07,EE,"[91, 15, 75, 3, 34, 27]"
Pranav Dubey,male,23B1066,9.42,EE,"[96, 30, 81, 14, 16, 55]"
Alka Singhal,male,23B0606,8.23,EE,"[85, 15, 67, 5, 8, 0]"
Rakesh Thakur,female,23B1839,6.3,EE,"[74, 10, 96, 17, 8, 76]"
Kartik Dubey,male,23B1042,6.87,ES,"[72, 31, 83, 4, 22, 77]"
Shreya Dasgupta,male,23B2709,7.26,EP,"[73, 37, 83, 4, 3, 5]"
Pallavi Choudhury,male,23B0446,8.12,EE,"[85, 35, 64, 14, 25, 16]"
Devansh Das,male,23B0661,7.77,EE,"[82, 15, 65, 1, 9, 10]"
Pooja Yadav,male,23B2133,6.65,EE,"[88, 18, 96, 5, 20, 85]"
Pallavi Gogoi,female,23B1068,6.38,EE,"[97, 5, 95, 18, 24, 53]"
Yash Vyas,male,23B1016,7.15,ES,"[71, 0, 73, 17, 29, 10]"
Smita Iyer,male,23B1523,8.92,EP,"[87, 27, 75, 1, 2, 55]"
Mohit Nikam,male,23B0738,8.41,EC,"[92, 12, 97, 7, 8, 3]"
Anita Sen,male,23B0352,6.16,EE,"[80, 16, 98, 6, 13, 93]"
Rahul Nikam,male,23B1846,6.49,EE,"[98, 22, 80, 16, 18, 54]"
Shruti Singhal,female,23B1039,8.66,EE,"[81, 7, 96, 13, 10, 100]"
Sonal Sharma,male,23B2239,8.7,EP,"[75, 5, 84, 12, 30, 68]"
Rekha Sood,male,23B0342,8.56,EC,"[84, 26, 66, 16, 16, 83]"
Nisha Trivedi,female,23B0669,9.34,EE,"[76, 35, 99, 14, 2, 69]"
Meera Das,male,23B1009,9.79,EE,"[80, 24, 65, 8, 33, 19]"
Shruti Dasgupta,male,23B0943,7.86,EE,"[92, 20, 67, 2, 7, 82]"
Alka Nikam,female,23B1293,6.69,EP,"[81, 14, 98, 4, 32, 33]"
Neelam Jain,male,23B2482,7.66,ES,"[86, 24, 60, 12, 1, 64]"
Rohan Kulkarni,male,23B0055,8.83,EC,"[95, 17, 81, 13, 17, 91]"
Anjali Dasgupta,male,23B2156,8.8,EE,"[73, 10, 65, 8, 11, 98]"
Meera Varma,male,23B1215,7.72,EE,"[74, 26, 98, 12, 6, 79]"
Saurabh Raman,male,23B1286,7.65,EE,"[89, 30, 61, 12, 26, 53]"
Alka Banerjee,female,23B3922,8.46,ES,"[90, 17, 91, 9, 13, 61]"
Sameer Karthik,male,23B0337,7.1,EP,"[84, 3, 77, 4, 14, 96]"
Prakash Bhatia,male,23B3935,9.82,EE,"[84, 3, 80, 5, 1, 47]"
Deepak Sharma,male,23B3984,7.17,EE,"[82, 8, 71, 2, 10, 54]"
Karan Reddy,male,23B2254,9.32,EE,"[71, 21, 83, 11, 23, 40]"
Kartik Joshi,male,23B1085,7.55,EE,"[94, 26, 67, 5, 16, 13]"
Nikhil Chauhan,male,23B2233,7.24,ES,"[84, 14, 79, 11, 34, 64]"
Isha Sharma,female,23B1082,7.95,EE,"[75, 10, 85, 8, 8, 60]"
Harsh Kumar,male,23B1062,6.69,EP,"[82, 38, 82, 4, 28, 9]"
Akash Das,male,23B2190,8.5,EC,"[78, 12, 90, 4, 35, 55]"
Prakash Sood,male,23B0635,9.81,EE,"[75, 34, 95, 0, 20, 57]"
Siddharth Khandelwal,male,23B3973,7.37,EE,"[92, 4, 94, 1, 14, 79]"
Anjali Sengupta,female,23B1276,6.79,EP,"[95, 2, 85, 3, 28, 55]"
Divya Vyas,male,23B3956,8.95,ES,"[72, 4, 85, 8, 8, 17]"
Gaurav Raman,male,23B0660,6.17,EC,"[87, 3, 87, 14, 22, 69]"
Manisha Rana,male,23B3913,6.8,EE,"[91, 15, 66, 0, 28, 44]"
Riya Malhotra,male,23B2290,6.86,EE,"[100, 17, 74, 15, 16, 1]"
Divya Mathur,male,23B0659,6.88,EE,"[100, 32, 83, 3, 1, 58]"
Prakash Das,female,23B1527,7.27,EE,"[97, 11, 70, 8, 34, 31]"
Manish Shukla,male,23B3980,6.59,EP,"[78, 37, 88, 7, 13, 31]"
Kavya Joshi,female,23B3945,9.24,EE,"[80, 22, 69, 15, 6, 88]"
Sanjay Pande,male,23B3933,8.44,EE,"[79, 19, 80, 12, 26, 68]"
Nisha Rajput,male,23B0034,7.73,EE,"[94, 36, 100, 10, 9, 19]"
Arnav Joshi,male,23B2429,9.7,EE,"[93, 27, 78, 18, 31, 49]"
Sanjay Das,male,23B0400,7.52,ES,"[97, 6, 89, 16, 24, 77]"
Aarav Bhattacharya,female,23B0721,8.85,EE,"[87, 18, 97, 14, 30, 87]"
Prakash Sen,male,23B1072,6.07,EP,"[74, 28, 96, 3, 34, 32]"
Gaurav Thakur,male,23B3948,7.04,EC,"[70, 22, 69, 9, 33, 27]"
Deepak Nair,male,23B0767,9.05,EE,"[80, 1, 67, 2, 33, 71]"
Nidhi Suresh,male,23B2466,8.79,EE,"[91, 9, 92, 16, 20, 5]"
Sanya Thakur,male,23B0022,8.13,ES,"[91, 37, 66, 2, 23, 12]"
Ananya Deshmukh,female,23B1509,6.15,EE,"[71, 34, 100, 20, 31, 8]"
Neha Chakraborty,male,23B1023,7.62,EP,"[86, 11, 93, 19, 30, 2]"
Deepak Joshi,male,23B3903,8.87,EC,"[81, 26, 66, 8, 32, 88]"
Rekha Dixit,male,23B2201,8.06,EE,"[94, 0, 73, 5, 11, 42]"
Rohit Menon,male,23B1234,7.35,EE,"[88, 38, 69, 16, 1, 33]"
Rohit Mukherjee,male,23B2473,8.78,ES,"[91, 11, 61, 5, 14, 69]"
Kartik Mishra,female,23B2530,9.85,EE,"[73, 11, 100, 3, 30, 85]"
Rajesh Ghosh,male,23B0981,8.44,EP,"[78, 25, 92, 18, 31, 47]"
Deepak Rana,male,23B2448,9.89,EC,"[75, 19, 65, 4, 27, 65]"
Harsh Thakur,male,23B3924,9.17,EE,"[76, 36, 81, 19, 25, 14]"
Aditi Dubey,male,23B2202,8.36,EE,"[78, 36, 95, 9, 17, 61]"
Shreya Dubey,female,23B0074,8.92,EE,"[77, 15, 64, 14, 28, 39]"
Shruti Thakur,male,23B2186,9.63,ES,"[87, 20, 66, 3, 16, 76]"
Ayesha Khanna,male,23B0308,7.9,EP,"[100, 10, 85, 14, 27, 29]"
Smita Nair,male,23B1207,8.76,EE,"[87, 30, 79, 19, 7, 23]"
Aarav Malik,male,23B0601,6.14,EE,"[78, 32, 76, 1, 15, 82]"
Siddharth Dutta,male,23B0983,8.15,EE,"[75, 5, 78, 11, 5, 9]"
Manisha Kumar,female,23B0710,7.17,EP,"[79, 1, 82, 17, 2, 66]"
Rajesh Reddy,female,23B2132,6.93,EP,"[98, 38, 99, 10, 29, 70]"
Rajesh Joshi,male,23B0029,9.19,EC,"[90, 20, 80, 9, 29, 32]"
Nidhi Reddy,male,23B0736,9.66,EE,"[83, 40, 85, 16, 0, 72]"
Arjun Pillai,male,23B1832,9.7,EE,"[74, 34, 65, 9, 25, 77]"
Swati Kapadia,male,23B1217,7.19,EE,"[70, 13, 95, 5, 24, 88]"
Tarun Dixit,male,23B2502,6.38,ES,"[85, 7, 85, 14, 27, 18]"
Tara Saxena,female,23B0030,6.44,EE,"[75, 17, 90, 5, 16, 85]"
Lata Malhotra,male,23B2732,8.02,EP,"[99, 2, 97, 18, 35, 73]"
Vishal Varma,male,23B2208,7.55,EC,"[93, 8, 86, 20, 28, 43]"
Amitabh Malik,male,23B2105,7.42,EE,"[71, 18, 100, 17, 34, 19]"
Rakesh Shah,male,23B0020,8.4,EE,"[87, 18, 60, 16, 9, 45]"
Rahul Ranganathan,female,23B1239,8.88,EP,"[95, 6, 96, 5, 11, 83]"
Prakash Jain,male,23B2734,9.1,ES,"[85, 33, 72, 15, 33, 52]"
Saurabh Sen,male,23B0644,7.42,EC,"[86, 1, 69, 16, 24, 76]"
Lata Malik,male,23B2434,9.2,EE,"[83, 30, 82, 3, 35, 87]"
Nisha Dutta,male,23B4224,8.8,EE,"[90, 27, 62, 7, 1, 28]"
Manisha Nandan,male,23B3031,6.96,EE,"[82, 19, 61, 18, 5, 55]"
Riya Sethi,female,23B0412,9.51,EE,"[100, 8, 90, 19, 18, 16]"
Swati Sinha,male,23B2168,8.8,ES,"[99, 8, 61, 19, 5, 37]"
Kabir Sen,male,23B0399,7.21,EP,"[73, 6, 63, 20, 12, 73]"
Anjali Naidu,male,23B2145,7.41,EE,"[88, 38, 78, 20, 5, 60]"
Siddhi Bose,male,23B2515,8.9,EE,"[93, 25, 68, 7, 7, 80]"
Isha Singhal,male,23B2240,9.92,EE,"[73, 6, 74, 17, 5, 20]"
Arjun Sethi,female,23B2216,7.54,EC,"[72, 14, 90, 2, 13, 52]"
Naina Pande,male,23B3034,7.08,ES,"[76, 6, 88, 9, 15, 2]"
Smita Singh,male,23B2729,9.97,EP,"[91, 14, 67, 6, 9, 7]"
Sameer Shah,male,23B0010,7.26,EE,"[84, 32, 71, 18, 17, 21]"
Amitabh Thakur,male,23B0763,9.47,EE,"[88, 2, 96, 17, 21, 54]"
Aditya Choudhury,male,23B1244,7.58,EE,"[86, 9, 70, 13, 29, 22]"
Priya Rajput,female,23B2292,8.38,EP,"[91, 15, 64, 12, 27, 59]"
Abhishek Kapadia,female,23B2122,7.39,EE,"[91, 20, 98, 0, 17, 28]"
Isha Mukherjee,male,23B1013,6.89,EE,"[82, 2, 94, 11, 32, 23]"
Raj Patel,male,23B0985,7.06,EE,"[92, 13, 99, 20, 9, 37]"
Divya Prasad,male,23B0375,6.45,EE,"[79, 38, 82, 11, 22, 29]"
Kartik Jha,male,23B1814,6.58,EE,"[70, 14, 67, 8, 11, 20]"
Meera Joshi,female,23B2521,8.44,EP,"[93, 40, 67, 6, 32, 16]"
Bhavna Singhal,male,23B2494,7.93,ES,"[91, 39, 67, 6, 17, 12]"
Kritika Kumar,male,23B0718,8.93,EE,"[86, 33, 95, 13, 34, 85]"
Pooja Gogoi,male,23B2166,7.15,EE,"[77, 10, 92, 5, 27, 33]"
Kartik Bhattacharya,male,23B4240,7.63,EE,"[96, 6, 91, 1, 10, 75]"
Kavya Bhardwaj,male,23B2242,9.53,EE,"[95, 38, 76, 20, 28, 24]"
Neetu Kumar,female,23B0327,9.98,EE,"[100, 24, 78, 0, 23, 68]"
Deepak Sinha,male,23B0648,8.51,ES,"[90, 17, 86, 17, 7, 30]"
Tarun Swamy,male,23B0920,9.34,EP,"[91, 23, 84, 18, 22, 35]"
Yash Raman,male,23B3014,7.8,EC,"[81, 0, 87, 6, 34, 77]"
Ajay Sen,male,23B4225,8.51,EE,"[80, 40, 66, 0, 29, 48]"
Ayesha Ghosh,male,23B2148,6.48,EE,"[90, 37, 71, 7, 22, 2]"
Kartik Shah,female,23B2705,7.2,EC,"[87, 7, 75, 1, 33, 71]"
Priya Mahajan,male,23B3985,6.03,ES,"[92, 0, 82, 15, 23, 62]"
Tarun Singh,male,23B0429,8.91,EP,"[73, 22, 95, 3, 12, 96]"
Priya Singhal,male,23B0015,7.25,EE,"[93, 13, 72, 6, 21, 42]"
Pooja Rana,male,23B0319,9.63,EE,"[82, 30, 60, 15, 17, 93]"
Ramesh Dixit,male,23B0726,8.71,EE,"[97, 11, 72, 18, 34, 38]"
Saurabh Verma,female,23B0930,8.77,EE,"[98, 32, 99, 9, 30, 38]"
Aditya Chauhan,male,23B3923,8.61,ES,"[94, 27, 85, 6, 29, 48]"
Naina Nair,male,23B0989,8.13,EP,"[79, 9, 95, 1, 7, 15]"
Rohan Swamy,male,23B2520,7.71,EE,"[85, 1, 96, 10, 1, 95]"
Riya Mukherjee,male,23B0693,7.98,EE,"[76, 4, 97, 0, 2, 81]"
Manish Kulkarni,male,23B3937,8.86,EE,"[99, 28, 69, 18, 24, 75]"
Arjun Ghosh,female,23B2101,8.15,EP,"[91, 14, 64, 16, 22, 81]"
Anushka Patel,male,23B2179,7.17,EC,"[79, 16, 61, 13, 12, 74]"
